timestamp,festool_charger_accuConnected_0,festool_charger_accuConnected_1,festool_charger_accuConnected_2,festool_charger_accuConnected_3,festool_charger_accuConnected_4,festool_charger_accuConnected_5,festool_charger_accuConnected_6,festool_charger_accuConnected_7,festool_charger_accuLoading_0,festool_charger_accuLoading_1,festool_charger_accuLoading_2,festool_charger_accuLoading_3,festool_charger_accuLoading_4,festool_charger_accuLoading_5,festool_charger_accuLoading_6,festool_charger_accuLoading_7,festool_charger_batteryLow_0,festool_charger_batteryLow_1,festool_charger_capacities_0,festool_charger_capacities_1,festool_charger_capacities_2,festool_charger_capacities_3,festool_charger_capacities_4,festool_charger_capacities_5,festool_charger_capacities_6,festool_charger_capacities_7,festool_charger_chargerConnected_0,festool_charger_chargerConnected_1,festool_charger_externalPower_0,festool_charger_externalPower_1,festool_charger_message,festool_charger_time_0,festool_charger_time_1,festool_charger_version_0,festool_charger_version_1,festool_charger_voltages_0,festool_charger_voltages_1,festool_charger_voltages_2,festool_charger_voltages_3,festool_charger_voltages_4,festool_charger_voltages_5,festool_charger_voltages_6,festool_charger_voltages_7,power_batteryLow,power_batteryLowShutdownCounter,power_batteryType,power_ext_power,power_num_chargers,power_voltage,charger_0_bat1temp,charger_0_bat2temp,charger_0_batteryVoltage,charger_0_chargerNumber,charger_0_chargingCurrent,charger_0_state,charger_0_state_number,charger_0_time,charger_0_version,charger_1_bat1temp,charger_1_bat2temp,charger_1_batteryVoltage,charger_1_chargerNumber,charger_1_chargingCurrent,charger_1_state,charger_1_state_number,charger_1_time,charger_1_version,controller_hardware,controller_software,analoginputarray_0,analoginputarray_1,analoginputarray_2,analoginputarray_3,analoginputarray_4,analoginputarray_5,analoginputarray_6,analoginputarray_7,digitalinputarray_0,digitalinputarray_1,digitalinputarray_2,digitalinputarray_3,digitalinputarray_4,digitalinputarray_5,digitalinputarray_6,digitalinputarray_7,digitaloutputstatus_0,digitaloutputstatus_1,digitaloutputstatus_2,digitaloutputstatus_3,digitaloutputstatus_4,digitaloutputstatus_5,digitaloutputstatus_6,digitaloutputstatus_7,relaystatus_0,relaystatus_1,distancesensorarray_0,distancesensorarray_1,distancesensorarray_2,distancesensorarray_3,distancesensorarray_4,distancesensorarray_5,distancesensorarray_6,distancesensorarray_7,distancesensorarray_8,odometry_x,odometry_y,odometry_phi,odometry_vx,odometry_vy,odometry_omega,odometry_seq,image_version,power_output_current
2025-04-16T15:13:30.534367,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,51919,0,2.2.6,0.0.0,18.838001251220703,18.8700008392334,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.8700008392334,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.00244140625,0.0048828125,0.00244140625,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1354313801559782,3.805480803839585,1.4941762387752533,0,0,-0.673198401927948,12190,"4.20.8
",0.2705339193344116
2025-04-16T15:13:30.942553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,52819,0,2.2.6,0.0.0,18.838001251220703,18.8700008392334,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.8700008392334,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.0048828125,0,0,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.37481120228767395,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1357804451277164,3.805179432731998,1.0780897316784162,0,-0.007853981107473373,-1.0210176706314087,12199,"4.20.8
",0.25733715295791626
2025-04-16T15:13:31.309175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,52819,0,2.2.6,0.0.0,18.838001251220703,18.8700008392334,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.74100112915039,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.0048828125,0.00244140625,0.0048828125,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1352900907500965,3.8057461151559875,0.8288567364215851,-0.01020262110978365,-0.009817476384341717,-1.0322376489639282,12204,"4.20.8
",0.2507387697696686
2025-04-16T15:13:31.607028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,52819,0,2.2.6,0.0.0,18.838001251220703,18.8700008392334,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.74100112915039,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0,0,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.13532588022619965,3.805478334570792,0.5347687304019928,0.003400873625651002,-0.00589048583060503,-1.0771174430847168,12210,"4.20.8
",0.2705339193344116
2025-04-16T15:13:31.941850,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,53719,0,2.2.6,0.0.0,18.709001541137695,18.74100112915039,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.709001541137695,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,0.0048828125,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1360183897324678,3.8064459851690766,0.11312213152357398,0,0.015707962214946747,-1.0546774864196777,12218,"4.20.8
",0.2705339193344116
2025-04-16T15:13:32.296555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,53719,0,2.2.6,0.0.0,18.709001541137695,18.74100112915039,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.709001541137695,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.13521297303762947,3.8060202932137317,-0.2871318500974318,-0.006801747251302004,-0.007853981107473373,-1.0546776056289673,12225,"4.20.8
",0.2507387697696686
2025-04-16T15:13:32.642172,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,54619,0,2.2.6,0.0.0,18.677000045776367,18.709001541137695,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.709001541137695,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.0048828125,0.0048828125,0.00244140625,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.13576477578920781,3.8054215432332783,-0.6296277021622441,0.01700436882674694,0.00589048583060503,-1.0097975730895996,12232,"4.20.8
",0.23754198849201202
2025-04-16T15:13:33.031421,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,54619,0,2.2.6,0.0.0,18.677000045776367,18.709001541137695,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.74100112915039,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1360909833324038,3.8052591943475345,-0.8794714510440826,0,-0.003926990553736687,-0.39269909262657166,12238,"4.20.8
",0.29032909870147705
2025-04-16T15:13:33.397798,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,,54619,0,2.2.6,0.0.0,18.677000045776367,18.709001541137695,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.74100112915039,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.14080322641898949,3.8002470198334097,-0.9504815609449951,0.07481922209262848,0,-0.5048988461494446,12246,"4.20.8
",0.23754198849201202
2025-04-16T15:13:33.723482,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,"146:20:33:286 IDLE -> SCAN 1
146:20:33:386 SCAN -> IDLE 1
",55519,0,2.2.6,0.0.0,18.709001541137695,18.74100112915039,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.709001541137695,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.0048828125,0.00244140625,0.0048828125,0.0048828125,0.0048828125,0.00244140625,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.17070759568885607,3.741865793449113,-1.1737340986728668,0.23806115984916687,0.007853981107473373,-0.5609986782073975,12254,"4.20.8
",0.2441403716802597
2025-04-16T15:13:34.101311,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,-2,-2,-2,-2,-2,-2,0,0,0,0,"146:20:33:286 IDLE -> SCAN 1
146:20:33:386 SCAN -> IDLE 1
",55519,0,2.2.6,0.0.0,18.709001541137695,18.74100112915039,0,0,0,0,0,0,False,240000,Li-Ion,False,1,18.709001541137695,0,0,0,0,0,,0,0,2.2.6,0,0,0,1,0,,0,0,0.0.0,4.0.0,2.1.4,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.00244140625,0.0048828125,0.0048828125,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.1989166240026698,3.6486178751805896,-1.349663406610489,0.2992768883705139,-0.007853981107473373,-0.48245882987976074,12261,"4.20.8
",0.2441403716802597
